Loudspeaker;Distance;Azimuth;;Elevation;setup-height
A3;1.532;0; N;21.7;0.736
A4;1.966;299; NO;18.08;
A5;1.53;255; O;23.76;
A6;2.0;208; SO;16.9;
A7;1.555;165; S;23.51;
A8;2.015;133; SE;17.31;
A9;1.54;93; E;23.8;
A10;1.995;46; NE;17.65;
A11;1.878;2; N;53.7;
A12;1.873;270; O;53.42;
A13;1.9;181; S;53.36;
A14;1.894;91; E;52.6;
A15;1.23;357; N;8.11;
A16;1.182;268; O;8.89;
A17;1.212;176; S;8.6;
A18;1.174;88; E;8.37;
A19;1.72;357; N;80;
